Date,Open,High,Low,Close,Volume
8/11/2015 16:00:00,523.65,528.98,522,527.46,2676600
8/12/2015 16:00:00,523.75,527.5,513.06,525.91,4014684
8/13/2015 16:00:00,527.37,534.66,525.48,529.66,2895238
8/14/2015 16:00:00,528.25,534.11,528.25,531.52,1994799
8/17/2015 16:00:00,531.29,538.74,527.12,535.22,2581680
8/18/2015 16:00:00,535.04,539.49,533,535.02,2071342
8/19/2015 16:00:00,533.74,537.25,529,532.92,2324040
8/20/2015 16:00:00,530.39,533.25,515.77,515.78,4407990
8/21/2015 16:00:00,507.36,512.33,494.47,494.47,6706466
8/24/2015 16:00:00,463.58,489.76,451,463.37,10097601
8/25/2015 16:00:00,487.49,489.44,466.25,466.37,5679329
8/26/2015 16:00:00,484.02,503.72,478.76,500.77,6358639
8/27/2015 16:00:00,513.71,522.69,507.26,518.37,6114506
8/28/2015 16:00:00,517.5,521.5,513.04,518.01,2746708
8/31/2015 16:00:00,516.44,519.41,509.07,512.89,3002293
9/1/2015 16:00:00,499.14,510,493.43,496.54,3864514
9/2/2015 16:00:00,505.09,510.86,497.72,510.55,3707116
9/3/2015 16:00:00,514.5,515.84,502.57,504.72,3149694
9/4/2015 16:00:00,497.65,502.85,495.64,499,2692510
9/8/2015 16:00:00,508.69,518.35,508.51,517.54,3810653
9/9/2015 16:00:00,524,529.95,515.06,516.89,4370657
9/10/2015 16:00:00,515.15,526.13,514.78,522.24,2575982
9/11/2015 16:00:00,521.07,529.44,520.61,529.44,3227862
9/14/2015 16:00:00,529.44,532.45,518.58,521.38,3130241
9/15/2015 16:00:00,523.25,527.92,517.2,522.37,2865933
9/16/2015 16:00:00,521.98,528.3,518.52,527.39,2252790
9/17/2015 16:00:00,526.98,546.97,526.57,538.87,4169484
9/18/2015 16:00:00,534.62,546.24,531.35,540.26,6160075
9/21/2015 16:00:00,544.33,549.78,539.59,548.39,3283313
9/22/2015 16:00:00,539.71,543.55,532.66,538.4,3841748
9/23/2015 16:00:00,538.3,541.21,534,536.07,2237571
9/24/2015 16:00:00,530.55,534.56,522.87,533.75,3500964
9/25/2015 16:00:00,542.57,542.8,521.4,524.25,4030998
9/28/2015 16:00:00,520.02,520.28,494.33,504.06,5434532
9/29/2015 16:00:00,506,511.48,490.5,496.07,4457532
9/30/2015 16:00:00,505.44,512.8,501.67,511.89,4004681
10/1/2015 16:00:00,511,520.8,506,520.72,3768483
10/2/2015 16:00:00,512.99,532.6,508.1,532.54,4597795
10/5/2015 16:00:00,536.99,545.91,536,543.68,3391359
10/6/2015 16:00:00,545.5,551.5,533.33,537.48,4547519
10/7/2015 16:00:00,541.79,542,529,541.94,3812087
10/8/2015 16:00:00,536.71,539.39,519.89,533.16,4676440
10/9/2015 16:00:00,534.48,541.79,530.27,539.8,3537364
10/12/2015 16:00:00,539.96,550.82,539.8,550.19,2776103
10/13/2015 16:00:00,546.26,553.2,543.1,548.9,2938044
10/14/2015 16:00:00,551.34,552.25,539.68,544.83,3582060
10/15/2015 16:00:00,547.75,563,547,562.44,4937034
10/16/2015 16:00:00,565.27,570.94,560.31,570.76,4315792
10/19/2015 16:00:00,570.76,579,567.38,573.15,4375420
10/20/2015 16:00:00,572,573,555.28,560.88,4346209
10/21/2015 16:00:00,563.87,565.25,552.52,555.77,3361655
10/22/2015 16:00:00,562.7,569.15,556.67,563.91,7779372
10/23/2015 16:00:00,617.68,619.45,595.36,599.03,10692667
10/26/2015 16:00:00,602.3,609.85,596.29,608.61,4269715
10/27/2015 16:00:00,608.6,614.71,605.53,611.01,3787136
10/28/2015 16:00:00,612.3,617.23,609.5,617.1,3926200
10/29/2015 16:00:00,617.7,627.54,615.39,626.55,3896026
10/30/2015 16:00:00,626.01,630.72,625.28,625.9,3874363
11/2/2015 16:00:00,627.13,628.63,620.41,628.35,2816479
11/3/2015 16:00:00,629.53,629.89,622,625.31,3246910
11/4/2015 16:00:00,627.76,645.93,627.35,640.95,4840501
11/5/2015 16:00:00,647.1,657,643.09,655.65,4723825
11/6/2015 16:00:00,655,662.26,652,659.37,4092165
11/9/2015 16:00:00,658.65,661.96,647.85,655.49,4048823
11/10/2015 16:00:00,651.01,660,647.26,659.68,3489483
11/11/2015 16:00:00,663.25,675.96,663.25,673.25,5387309
11/12/2015 16:00:00,673,675.64,664.22,665.6,4284678
11/13/2015 16:00:00,663.57,667,640.45,642.35,6261076
11/16/2015 16:00:00,640.92,649.99,622.29,647.81,7435934
11/17/2015 16:00:00,650.65,653.25,641,643.3,4320177
11/18/2015 16:00:00,646.51,664.88,646.37,663.54,4469769
11/19/2015 16:00:00,664.99,672.86,659,661.27,4705237
11/20/2015 16:00:00,667.94,668.87,657.57,668.45,3896135
11/23/2015 16:00:00,671.5,682.77,668.45,678.99,4385057
11/24/2015 16:00:00,674.14,675.8,661.21,671.15,4543417
11/25/2015 16:00:00,675,679.7,671.24,675.34,2697889
11/27/2015 16:00:00,680.8,680.99,672.1,673.26,1966801
11/30/2015 16:00:00,675.9,681.29,664.6,664.8,5693172
12/1/2015 16:00:00,673.75,681,667.86,679.06,4751152
12/2/2015 16:00:00,681,684.82,674.25,676.01,4273526
12/3/2015 16:00:00,679.44,682.79,661.48,666.25,5064736
12/4/2015 16:00:00,666,674.78,661.4,672.64,4534796
12/7/2015 16:00:00,674.74,675.46,660.5,669.83,3732814
12/8/2015 16:00:00,663.13,679.99,659.79,677.33,3651908
12/9/2015 16:00:00,678,679,655.68,664.79,5158172
12/10/2015 16:00:00,665.59,668.53,659.56,662.32,3455472
12/11/2015 16:00:00,651.23,657.88,639.62,640.15,5474420
12/14/2015 16:00:00,641.75,658.59,635.27,657.91,4361273
12/15/2015 16:00:00,665.03,671.5,657.35,658.64,4753415
12/16/2015 16:00:00,663.56,677.35,659.32,675.77,3964470
12/17/2015 16:00:00,680,682.5,670.65,670.65,3681645
12/18/2015 16:00:00,668.65,676.84,664.13,664.14,6841304
12/21/2015 16:00:00,668.5,669.9,658.93,664.51,3250900
12/22/2015 16:00:00,666.83,668.49,659.26,663.15,2667795
12/23/2015 16:00:00,666.5,666.6,656.63,663.7,2722922
12/24/2015 16:00:00,663.35,664.68,660.6,662.79,1092970
12/28/2015 16:00:00,665.56,675.5,665.5,675.2,3783555
12/29/2015 16:00:00,677.98,696.44,677.89,693.97,5734996
12/30/2015 16:00:00,691.89,695.49,686.38,689.07,3519003
12/31/2015 16:00:00,686.08,687.75,675.89,675.89,3749560
1/4/2016 16:00:00,656.29,657.72,627.51,636.99,9314519
1/5/2016 16:00:00,646.86,646.91,627.65,633.79,5822603
1/6/2016 16:00:00,622,639.79,620.31,632.65,5329197
